,A4,A5,A6,A9,A9_2_TEXT,B2,B5,B6,B6_8_TEXT,B8,B9,B9_9_TEXT,B10,B11,B11_1_TEXT,B12,B13,B14,B15,B15_1_TEXT,B16,B17,B17_1_TEXT,B18,C1,C2,C3,C4,C5,C6,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D11_1_TEXT,D11_2_TEXT,D11_3_TEXT,D12,D13,D14_NPS_GROUP,D14,D15,E1,E2,E3,E3_6_TEXT,E4_NPS_GROUP,E4,E5,E6,E7,E8,E9,F1,F2,F3,F4,F5,F6,F7,F7_1_TEXT,F8,F8_1_TEXT,B3_B4_Combined,Distribution,Logistics/ Transport,Production,Aggregation (group buying for reselling),Processing,Agri-Services - Inputs supply,B13_Combined,D3_Combined
62,Married,University,29 12 1976,Côte d'Ivoire,,Cooperative,4.0,"More than 3, specify",6.0,Comité de gestion comité de suivaillance élu chaque 3ans . président secrétaire trésorier directeur technique organise la société coopérative,"Other, specify",Tiassalé n'douci,No,No,,"Regional Markets ,International Markets",Between 1 and 5 millions,Cassava,No,,président,Oui,Societe Cooperative,Registre de commerce,Adfmaci,Membre de la société coopérative,Partenaires et les particuliers,Yes,Moto trycicle ,Problème firnancie . nos produits sont achetés souvent à crédit,Agri Cash (liquidities),Between 5 and 25 millions,February ,Less than a month,Every trimester,Logistics,No,,,,,,,Yes,BAOBAB,Promoter,9,Garantie sécurité,Yes for personal and business expenditures,Weekly ,Transfer money,,Passive,7,Anaque,,,Connaitre son cycle d’activité agricole pour un crédit au moment opportun,No,No,More than 90%,More than 90%,Yes,81-90%,"Yes, explain","Yes, explain",Pour réduire le taux de chômage,"Yes, explain",Par sa qualité et l'organisation dans le travail,45.0,1,0,1,0,1,0,,
63,Married,University,08/07/1987,Côte d'Ivoire,,Cooperative,1.0,2,,Nous réalisons des champs de manioc dans le but d'avoir la matière à la transformation à ,Bouaké ,,Yes,No,,"Local Markets ,Regional Markets ",Between 50 and 100 millions,marecher,"Yes, specify",tomate,president,Oui,Societe Cooperative,Déclaration fiscale d'existence DFE,,,,Yes,nous avons tricycles ,nous n'avons pas assez de moyens financiers pour atteindre nos objectifs,"Agri Cash (liquidities),Operational loan (working capital) ,Product financing (fertilizers, seeds, pesticides),Insurance",Between 5 and 25 millions,"January ,February ,March ,April ",Between one and 3 years ,Every trimester,Logistics,No,,,,,,,Yes,Fin’Elle,Detractor,4,Nous courons depuis plus de 1 an vers un prêt auprès de fin'elle sans succes,Yes for personal and business expenditures,Daily,"Transfer money,Pay bills,Pay employees ,Pay producers/ farmers",,Passive,8,nous n'avons jamais connu de problème dans son utilisation,,"Technical partnerships, Access to markets, Access to new buyers",Comment bien rembourser son crédit,Yes,Yes,21-30%,31-40%,No,10-20%,"Yes, explain","Yes, explain",nous aidons plus de 50 familles à se prendre en charge,"Yes, explain",nous privilégions la conservation de nos produits,50.0,0,0,1,0,1,0,50000000.0,15000000.0
64,Married,High School ,01/01/1957,Côte d'Ivoire,,Women’s association ,3.0,"More than 3, specify",5.0,"Le réseau des femmes actives pour le développement  regroupe les producteurs les transformatrices (attieke.placali, farine de manioc ,amidon ect)et les vendeuses.Nous sommes en réseau : certaines produisent d'autre transforment et vendent",Yamoussoukro ,,No,,,Local Markets ,Less than 1 million,Élevage de poulets ,"Yes, specify",ignames,,Oui,Societe Cooperative,Registre de commerce,Panafci,,"Les femmes,les jeunes qui font garba les haoussa",No,Les taxis brousse,"Nous cherchons les acheteurs de nos produits (attieke,placali ect ...)réguliers et  qui payent cach  car nous avons été victimes de certains acheteurs qui ont pris nos produits et ne sont plus revenus nous donnent l'argent.Nous voudrions aussi des trycides des brouyeuses,des brouettes ect...","Agri - Transport (financing for vehicle),Operational loan (working capital) ,Trade finance for export ,Insurance",Between 5 and 25 millions,"March ,April ,May ,June ,July ,August,September ,October ",More than 3 years,Every month,Logistics,No,,,,,,,Yes,Coris Bank,Passive,7,Coris banque nous a déjà formé à Bouaké c.C'est pourquoi nous voudrions ouvrir notre compte la bas,Yes for personal and business expenditures,Daily,"Transfer money,Pay bills,Pay producers/ farmers,Pay business suppliers",,Passive,8,C'est rapide et à tout moment  on a accès,No,"Technical partnerships, Access to markets, Access to new buyers",Comment bien rembourser son crédit,No,Yes,61-70%,61-70%,No,61-70%,"Yes, explain","Yes, explain","Les femmes se sentent solidaires ,on fait l'alphabetisation de celles qui ne savent pas lire  la sensibilisation sur les VBG .Nous participons aux reboisement exp a Lolobo","Yes, explain","C'est de ça nous vivons,nous envoyons nos enfants a l'école .nous faisons face à nos besoins ect...",300.0,0,0,1,0,1,0,,
65,Married,University,1977,Côte d'Ivoire,,Women’s association ,27.0,"1,5",,Association des Femmes des membres de la CAMAYE COOP-CA,"Other, specify",Abengourou,No,No,,Local Markets ,Between 1 and 5 millions,Cassava,No,,encadreur,Non,,Statuts et règlements intérieurs,Aucune,Nos membres,Aucun,Yes,Moto tricycle,Les dépôts ventes sont mal payés,Trade finance for export ,Between 1 and 5 millions,"January ,February ,March ,April ,May ,June ,July ,August,September ,October ,November ,December",Between one and 3 years ,Every year,Charges ,No,,,,,,,No,,Passive,8,Plus proche de la population,Yes for personal expenditures,Daily,"Transfer money,Pay bills",,Passive,8,C'est automatique,,"Technical partnerships, Access to markets, Access to new buyers",Constitution d’un dossier agricole,No,Yes,More than 90%,More than 90%,No,More than 90%,"Yes, explain","Yes, explain",Lutte contre la pauvreté,"Yes, explain",Il profite directement au membres,27.0,1,0,1,0,1,0,,
66,Single,High School ,1997,Côte d'Ivoire,,Women’s association ,1.0,2,,nous sommes une associations de 5 femmes qui produisent et transforment le manioc en attiéké et en placali,"Other, specify",Bouaflé,No,No,,"Local Markets ,Regional Markets ",Between 1 and 5 millions,Cassava,No,,directrice,Non,,Aucun document,FPTM CI,notre principal fournisseur s'appelle l'anader,notre principal acheteur sont des revendeurs ,No,nous louons des camions ce qui est trop couteux pour notre activité,"nous rencontrons des problèmes de productivité , nous ne disposons pas de machine , nous faisons tout à la main ce qui revient difficile de satisfaire tout nos clients , nous avons perdu beaucoup de nouveau client a cause de ce probleme",Operational loan (working capital) ,Between 5 and 25 millions,July ,Between one and 3 years ,Every semester,Charges ,No,,,,,,,No,,Passive,8,"nous savons que les institutions financières financent les gens pour les aider a développer leurs entreprises , ils sont la pour nous aider a faire prospérer l'agriculture ivoirienne donc nous leur faisons confiance si ils veulent se porter garant pour nous",Yes for personal and business expenditures,Daily,"Transfer money,Pay bills,Pay business suppliers",,Passive,8,"ca fait longtemps qu'on utilise ca , c'est fiable , rapide et tout le monde a accès a ca même dans les villages",No,"Technical partnerships, Access to markets, Access to new buyers",Comment bien rembourser son crédit,No,Yes,More than 90%,More than 90%,No,81-90%,"Yes, explain","Yes, explain","parcequ'elle cree des emplois, elle permet de reduire aussi la pauvrete dans les villages et de creer des revenus ",No,,5.0,0,0,1,0,1,0,4890000.0,
67,Single,University,1976,Côte d'Ivoire,,Women’s association ,15.0,"More than 3, specify",,"Culture du manioc dans les villages, transformation du manioc en pâte et attieke",Bouaké ,,No,No,,"Local Markets ,Regional Markets ",Between 1 and 5 millions,Cassava,"Yes, specify",production,responsable,Oui,Societe Cooperative,Registre de commerce,FACSVCI,Tradis ,Marché de gros Bouaké,No,Véhicules Kia,Problème de débouchés pour écouler le produit,Agri - Equipment (financing for equipment),Between 1 and 5 millions,February ,Between 1 and 3 months,Every trimester,Logistics,No,,,,,,,No,,Passive,7,Les institutions financières peuvent financer les projets rémunératrice de revenus,Yes for personal and business expenditures,Daily,"Transfer money,Pay bills,Pay producers/ farmers",,Passive,8,Je fais confiance aux services mobile minet car ils nous permettent de gagner du temps,AVEC Association villageoise  d épargne et de crédit de sakassou,"Technical assistance, Coaching, Mentoring",Constitution d’un dossier agricole,No,Yes,81-90%,81-90%,No,71-80%,"Yes, explain","Yes, explain","L entreprise fait l approvisionnement des dans les marchés, les restaurants ","Yes, explain",Produisons 100 sacs de pâte de manioc par semaine,50.0,0,0,1,0,1,0,,
68,Single,University,1977,Côte d'Ivoire,,Cooperative,681.0,"More than 3, specify",,La SCKA-COOPCA est une coopérative avec conseil d'administration qui dispose de 681 membres dont 25% de femme.  Elle intervient dans l'achat groupé et la revente de cacao. ,"Other, specify",La Mé,No,"Yes, specify",,Local Markets ,More than 250 millions,Cacao ,"Yes, specify",manîoc,directeur,Oui,Societe Cooperative,Statuts et règlements intérieurs,Le conseil café cacao ,Les membres de la coopérative ,Africa Sourcing ,Yes,"La coopérative collecte les produits des membres et les stock au magasin central 
Lorsque le stock est consistant il est évacué chez le client à l'aide d'un camion d'évacuation que la coopérative loue",Les nouveaux acheteurs refusent de traiter avec les coopératives qui ne sont pas dans le programme. ,Agri Cash (liquidities),Between 25 and 50 millions,August,Between one and 3 years ,Every trimester,Charges ,No,,,,,,,Yes,COOPEC ,Passive,8,Je fais confiance aux institutions financières parce que notre argent est en sécurité et nous pouvons bénéficier des financements pour mener à bien nos activités. ,Yes for personal expenditures,Monthly ,"Transfer money,Pay bills",,Passive,8,Permettent de sécuriser notre argent et facilite les transfert d'argent. ,,"Technical partnerships, Access to markets, Access to new buyers",Epargne et bancarisation agricole ,Yes,No,<10%,21-30%,Yes,21-30%,No,"Yes, explain",La coopérative réalise des oeuvres socio-communautaires pour satisfaire les besoins de ses membres et ceux de la communauté tout entière. ,"Yes, explain",La production se base sur des principes devant étendre sur de longues périodes. ,681.0,0,0,0,1,0,0,,
69,Widowed,Primary,1955:,Côte d'Ivoire,,Women’s association ,37.0,Between 6 months and a year ,,Chaque femme a son champ. Le groupe fixe des jours de collecte en fonction de la commande des clients. Cette commande peut être l'attiké ou les tubercules. Certains clients prefinancent. Mais la plupart ce sont des ventes à crédit,Bouaké ,,No,No,,Local Markets ,Between 1 and 5 millions,Cassava,"Yes, specify",arrachide,secrétaire,Non,,Aucun document,Aucune,Nos membres,Ce sont des revendeurs qui viennent de Bouaké,No,Location de tricycle pour rassembler au village. Le reste est à la charge du client,Le crédit est long,"Agri Cash (liquidities),Agri - Equipment (financing for equipment)",Between 1 and 5 millions,"April ,May ,June ,July ,August",Between 3 months and a year,Every year,Charges ,No,,,,,,,No,,Detractor,4,"Il y a trop de procédure, problème de caution",Yes for personal expenditures,Weekly ,"Transfer money,Pay bills",,Promoter,9,C'est rapide,,"Technical partnerships, Access to markets, Access to new buyers",Comment bien rembourser son crédit,No,Yes,More than 90%,More than 90%,No,More than 90%,"Yes, explain","Yes, explain",Les femmes ont des sources de revenus,"Yes, explain",Ça profite à nos membres,37.0,1,0,1,1,1,0,,
70,Single,Professional training ,27/02/1976,Côte d'Ivoire,,Cooperative,3.0,Between 3 and 6 months ,,Production et commercialisation,"Other, specify",Daoukro,Yes,No,,"Local Markets ,Regional Markets ",Less than 1 million,Cassava,"Yes, specify",culture,président,Non,,Statuts et règlements intérieurs,,,"Les garbadronne (vente d'attieke)
Les producteurs d'attieke",No,"La récolte du manioc dans les champs location de véhicules pour le transport
Les femmes de la coopérative font l'attieke  distribution par tricycle toujours en location",Problème ,Agri Cash (liquidities),Between 5 and 25 millions,February ,More than 8 years,Every month,Inputs,No,,,,,,,No,,Detractor,6,,Yes for personal expenditures,Daily,"Transfer money,Pay bills",,Detractor,6,,,"Technical partnerships, Access to markets, Access to new buyers",Connaitre son cycle d’activité agricole pour un crédit au moment opportun,No,No,21-30%,21-30%,No,21-30%,"Yes, explain","Yes, explain",,"Yes, explain",,21.0,0,0,1,0,0,0,,
71,Single,University,1994,Côte d'Ivoire,,Other,6.0,"1,5",,"Nous achetons le manioc et/ ou la pâte de manioc auprès des groupements de femme ou des fournisseurs individuels que nous acheminons dans notre unité pour la transformation en farines. Nous vendons la farine de pâtes fermentée "" Placali""; la farine de cossette de manioc ""Konkodé""; la farine pâtissière de manioc.",Daloa,,,,,"Local Markets ,Regional Markets ,International Markets",Between 1 and 5 millions,Cassava,"Yes, specify",banane,directrice,Oui,SARL,Registre de commerce,Coop CA Enable Youth,Coopérative Eklowehun,LM trade grossiste en France. Ils prennent les produits en gros et revendent sur tout le territoire français,No,"Après la production, nous expédions les produits à Abidjan via les compagnies de transport locales pour la vente","- Absence de fonds pour faire une grande campagne publicitaire
- Produits non référencés en grande surface
- Absence de boutique sur Abidjan ","Agri - Transport (financing for vehicle),Agri - Equipment (financing for equipment),Operational loan (working capital) ,Trade finance for export ",Between 5 and 25 millions,"June ,July ,August,September ,October ,November ,December",Between one and 3 years ,Every trimester,Charges ,Yes,22926339,"Leasing (equipment, transport/logistics) ",Interest rate,10,,,Yes,,Passive,7,Nous avons confiance aux institutions financières parce qu'elle nous aide à réaliser mieux faire nos investissement; à réaliser nos projets et à accéder à de nouveaux financements en cas de besoin si nous avons montrer nos preuves sur le marché.,Yes for personal and business expenditures,Daily,"Transfer money,Pay bills,Pay employees ,Pay producers/ farmers,Pay business suppliers",,Detractor,0,"Nous pouvons facilement perdre de l'argent, se tromper, être arnaquer.",No,"Technical partnerships, Access to markets, Access to new buyers",Comment bien rembourser son crédit,Yes,Yes,21-30%,71-80%,No,81-90%,"Yes, explain","Yes, explain","Création d'emploi auprès des femmes, surtout des jeunes filles non scolarisés.
Création de débouché pour les produits des très périssables comme le manioc des coopératives.","Yes, explain","Nous comptons fournir des intrants (boutures, matériels...) aux producteurs locaux pour qu'ils produisent la matière première. Nous rachèterons ensuite la production.
Nous comptons aussi valoriser les épluchures de manioc en alimentation animale. ",,0,0,0,0,1,0,,
72,Married,University,1981,Côte d'Ivoire,,Women-Led SME,1.0,"1,5",,Nous cultivons le manioc et le transformons en attieke,Abidjan ,,Yes,No,,Local Markets ,Between 1 and 5 millions,Cassava,"Yes, specify",,directrice,Oui,,Registre de commerce,FPTM CI,Particulier,Particulier,No,Location,La transformation avec des machines modernes,Agri - Equipment (financing for equipment),Between 1 and 5 millions,April ,Between one and 3 years ,Every trimester,Charges ,No,,,,,,,Yes,BAOBAB,Passive,8,Elles sont plus proches des populations ,Yes for personal and business expenditures,Daily,Transfer money,,Passive,7,La rapidité du service,Gref,"Technical partnerships, Access to markets, Access to new buyers",La vente en ligne pour optimiser ses revenus,No,Yes,81-90%,81-90%,Yes,81-90%,"Yes, explain","Yes, explain",Nous incitons les autres femmes à pratiquer les AGR tel le commerce d'attieke,"Yes, explain",Oui nous façons tout pour avoir la matière première pour la transformation ,5.0,0,0,1,0,1,0,,
73,Married,Professional training ,1980,Côte d'Ivoire,,Cooperative,1.0,2,,Nous sommes une coopérative qui produit le manioc que nous transformons en Attieke et placali,"Other, specify","ABOISSO, AGBOVILLE",No,No,,"Local Markets ,Regional Markets ",Between 1 and 5 millions,Cassava,"Yes, specify",aubergine,responsable,Oui,SARL,Aucun document,FPTM-CI,L'ANADER EN BOUTURE,LES GROSSISTES D'ADJAME ET YOPOUGON,No,NOUS LOUONS DES CAMIONS ET TRICYCLES,MANQUE DE STABILITE DE CONTRAT PROFESSIONNELS. MANQUE DE MATERIEL POUR REPONDRE A LA DEMANDE,"Agri - Equipment (financing for equipment),Operational loan (working capital) ",Between 1 and 5 millions,July ,Between one and 3 years ,Every semester,Charges ,No,,,,,,,No,,Passive,8,PARCE QU'ILS SUIVENT L'ACTIVITE ET CONSEILLE POUR LE FINANCEMENT,Yes for personal and business expenditures,Daily,"Transfer money,Pay bills,Pay employees ,Pay producers/ farmers,Pay business suppliers",,Passive,8,ILS SONT DISPONIBLES PARTOUT ET ASSISTENT EN LIGNE,,"Technical partnerships, Access to markets, Access to new buyers",Comment bien rembourser son crédit,No,Yes,81-90%,81-90%,No,More than 90%,"Yes, explain","Yes, explain","CREATION D'EMPLOI, SENSIBILISATION A LA NON VIOLENCE
AUTONOMISATION DE LA FEMME","Yes, explain",PARCE QUE LA DEMANDE EN ATTIEKE ET EN PLACALY EST DE PLUS EN PLUS IMPORTANTE FACE A LA DEMOGRAPHIE GRANDISSANTE,20.0,0,0,1,0,1,0,35.0,35000000.0
74,Married,University,15/09/1990,Côte d'Ivoire,,Family-Led SME,5.0,"More than 3, specify",,MIENSAH GROUP est une entreprise agricole exerçant dans la prestation de services et dans la transformation de manioc ,"Other, specify",TOUMODI,No,No,,"Local Markets ,Regional Markets ",Between 25 and 50 millions,Cassava,No,,directeur,Oui,SARL,Autres,ENTRAFRICA,SONACO et SIMPA,"Grossiste
Supérettes
Boutiques",Yes,Livraison par compagnie de transport dans les villes éloignée et livraison par tricycle aux alentours de Toumodi,"Pas accès au supermarché 
Référencement difficiles","Agri Cash (liquidities),Agri - Transport (financing for vehicle),Agri - Equipment (financing for equipment),Operational loan (working capital) ",Between 50 and 100 millions,March ,More than 3 years,Every month,Logistics,No,,,,,,,Yes,ORABANK,Passive,7,Crédible et concrêt,Yes for personal and business expenditures,Daily,"Transfer money,Pay bills,Pay producers/ farmers,Pay business suppliers",,Detractor,5,Frais trop élevé,,"Technical partnerships, Access to markets, Access to new buyers",Epargne et bancarisation agricole ,Yes,No,31-40%,31-40%,Yes,71-80%,"Yes, explain","Yes, explain",,"Yes, explain",,5.0,0,0,1,0,1,1,27.0,
75,Married,Primary,1960,Côte d'Ivoire,,Other,,,,,Abidjan ,,No,No,,Local Markets ,Less than 1 million,Cassava,"Yes, specify",manioc,,Non,,Aucun document,,Les producteurs locaux,La consommateur à abidjan,No,Aucun,Moyen financier insuffisant ,"Agri Cash (liquidities),Operational loan (working capital) ",Less than 1 million,"January ,February ,March ,April ",Between 1 and 3 months,Every trimester,Labor ,No,,,,,,,Yes,COOPEC ,Detractor,4,Les promesses ne sont souvent pas tenues,Yes for personal and business expenditures,Daily,"Transfer money,Pay producers/ farmers",,Passive,8,Souvent il peut avoir des anarques,No,"Technical partnerships, Access to markets, Access to new buyers",Comment bien rembourser son crédit,No,,,,,,,,,,,,1,0,0,0,1,0,700000.0,
76,Single,University,1996,Côte d'Ivoire,,Other,1.0,Less than 3 months ,,Nous produisons des tubercules de manioc que nous vendons à des particuliers. ,"Other, specify",Yamoussoukro et Abidjan ,No,No,,Local Markets ,Between 1 and 5 millions,Cassava,"Yes, specify",produisons,gérant,Non,,Aucun document,Aucune ,Aucun ,Usine école de L'INP-HB et les femmes transformatrices de manioc de yopougon gare,No,"À la récolte, nous prenons les services des transporteurs pour le transport de nos tubercules ",L'accessibilité des terres cultivables et la disponibilité des camions de transport ,"Operational loan (working capital) ,Leasing (equipment, transport/logistics) ,Trade finance for export ,Insurance",Between 5 and 25 millions,February ,More than 3 years,Every year,Labor ,No,,,,,,,Yes,,Detractor,4,Je ne fais pas confiance aux institutions financières parce qu'elles posent trop de conditions contraignantes pour avoir accès à un crédit. Aussi leurs délais de remboursement sont très courts surtout pour les projets agronomes que nous partons. Mais également les taux d'intérêts de ces crédits sont trop élevés. ,Yes for personal expenditures,Daily,"Transfer money,Other :",Payer des crédits de communication ,Passive,8,C'est services sont simples et pratiques utiliser. ,,"Technical partnerships, Access to markets, Access to new buyers",Comment bien rembourser son crédit,No,No,<10%,Less than 10%,No,Less than 10%,"Yes, explain","Yes, explain",Elle donne du travail aux jeunes des zones de productions de notre manic. Aussi nous participons à la sécurité alimentaire de par notre production.,"Yes, explain",Nous utilisons des techniques de restauration de la fertilité des sols après récolte. Aussi nous faisons des associations et rotations culturales. ,,0,0,1,0,0,0,12.0,15.0
77,Single,High School ,11/02/1981,Côte d'Ivoire,,Cooperative,15.0,Between 6 months and a year ,,Production du vivrier et manioc,Bouaké ,,No,No,,Local Markets ,Between 1 and 5 millions,Cassava,"Yes, specify",production,directrice,Oui,,Autres,Facsvci coop ca,Societaires,Marche locaux,No,Trois roues,Le marche locaux,"Agri - Transport (financing for vehicle),Operational loan (working capital) ",Between 5 and 25 millions,June ,Between 1 and 3 months,Every year,Logistics,Yes,3000000f cfa,Agri Loan (crop finance to pay producers),Interest rate,,,,Yes,COOPEC ,Detractor,6,Nous qui sommes dans le vivrier  nous avons beaucoip de dificules,Yes for business expenditures,Daily,"Transfer money,Pay business suppliers",,Detractor,6,Les tarifs sont eleve,No,"Technical partnerships, Access to markets, Access to new buyers",Epargne et bancarisation agricole ,Yes,Yes,61-70%,10-20%,Yes,21-30%,"Yes, explain",No,,No,,300.0,0,0,1,0,1,0,,
78,Married,University,1979,Côte d'Ivoire,,Cooperative,1461.0,"More than 3, specify",4.0,Achat de fèves de cacao certifiées direct avec ses membres et ventes. Réalisation des projets pour ses membres,"Other, specify",Port de San Pedro,No,"Yes, specify",,International Markets,Between 100 and 250 millions,cacao,No,,président,Oui,Societe Cooperative,Registre de commerce,filière cafe cacao,Les membres de la coopérative. Nous collectons et vendons le produit,Un client allemand via un exportateur local,Yes,Nous avons des camions et des motos pour la collecte et nous faisons de la location avec des tiers pour la vente au port de San Pedro,le manque de clients pour la production certifiée surtout lors de la petite traite,Agri Cash (liquidities),Between 100 and 250 millions,"October ,November ,December",More than 8 years,Every month,Logistics,No,,,,,,,Yes,Ecobank,Detractor,5,Des frais inexpliqués prélevés,No,Weekly ,Pay bills,,Detractor,5,"pas moment vous êtes débités sur votre compte et la facture reste impayée. Après plusieurs démarches, l'argent n'est pas restitué.",,"Technical partnerships, Access to markets, Access to new buyers",Comment bien rembourser son crédit,Yes,No,<10%,21-30%,Yes,Less than 10%,No,"Yes, explain",réalisations des projets sociaux pour la communauté et la distribution des plants pour le renouvèlement des champs vieillissants. paiement des primes de certifications,"Yes, explain","nous renouvelons les champs, la formation des producteurs, les AGR collectives",1461.0,0,0,0,1,0,0,162.0,200.0
79,Married,University,1983,Côte d'Ivoire,,Cooperative,14.0,"More than 3, specify",,"Coopérative simplifier avec un président,un secrétaire,un trésorier,et un comité de surveillance",Daloa,,No,No,,Local Markets ,Between 1 and 5 millions,Cassava,No,,responsable,Oui,Societe Cooperative,Déclaration fiscale d'existence DFE,,,Les marchés locaux et les consommateurs individuel,No,Nous utilisons les motos tricycle et les camions ,"Manque de moyens de transport
Insuffisant de moyens de communication
","Agri - Equipment (financing for equipment),Operational loan (working capital) ",Between 50 and 100 millions,"January ,February ,March ,April ,May ,June ,July ,August,September ,October ,November ,December",More than 3 years,Every trimester,Logistics,No,,,,,,,Yes,COOPEC ,Detractor,5,J'ai confiance aux institutions financières par ce que toute entreprise a besoin d'un investir pour accroître ses bénéfices et le secteur agricole un atout majeur,Yes for personal expenditures,Daily,"Transfer money,Pay bills,Pay employees ,Pay producers/ farmers",,Promoter,10,Ils sont rapides efficaces et fiable,,"Technical partnerships, Access to markets, Access to new buyers",Comment bien rembourser son crédit,Yes,No,41-50%,41-50%,No,31-40%,"Yes, explain","Yes, explain",,"Yes, explain",C'est un cycle de production renouvelable  car nous produisons les dérivés de manioc pour la consommation des hommes et des bêtes ,1044.0,0,0,1,0,1,1,,
80,Married,University,21 Janvier 1973,Côte d'Ivoire,,Interprofession ,122.0,3,,"Nous achetons le manioc avec les planteurs, le transportons vers l'unité de transformation qui est composée majoritairement par les femmes.  L'attieké produit est acheminé sur Abidjan pour etre distribué aux revendeurs.",Abidjan ,,No,No,,Local Markets ,Between 25 and 50 millions,Cassava,"Yes, specify",arachide,gérant,Oui,SARL,Statuts et règlements intérieurs,,Les femmes productrices de manioc,Les revendeurs situés dans les marchés de Yopougon et Adjamé,No,Location de camion pour l'achat. Location de camion pour la distribution ,La qualité de l'attiéķé ne permet pas de l'exporter hors du pays.,"Agri Cash (liquidities),Agri - Transport (financing for vehicle),Agri - Equipment (financing for equipment),Operational loan (working capital) ,Leasing (equipment, transport/logistics) ,Product financing (fertilizers, seeds, pesticides)",Between 100 and 250 millions,"May ,June ,July ,August,September ",More than 3 years,Every month,Logistics,No,,,,,,,Yes,VERSUS Bank,Promoter,10,L'état de Côte d'Ivoire est l'actionnaire majoritaire à Versus Bank. ,Yes for personal and business expenditures,Daily,"Transfer money,Pay bills,Pay employees ,Pay producers/ farmers,Pay business suppliers",,Passive,8,Les anarques,,"Technical partnerships, Access to markets, Access to new buyers",La vente en ligne pour optimiser ses revenus,No,No,More than 90%,More than 90%,No,81-90%,"Yes, explain","Yes, explain",Permet aux femmes de productrices et employées d'être financièrement autonomes ,No,,20.0,1,1,0,0,1,0,,
81,Married,University,1976,"Other, specify",je suis la presidente de la coopérative Lawapan .nous produisons du manioc la patate et la banane ,Cooperative,,"More than 3, specify",2.0,on transforme le manioc en attieke en patte en farine.on vend la banane a prosuma et la patate douce ,Abidjan ,,No,No,,Local Markets ,Between 1 and 5 millions,Cassava,No,,présidente,Oui,SARL,Statuts et règlements intérieurs,,,prosuma socofrais,No,nous louons les camions,nous n avons pas assez de moyens pour mettre en place une grande quantité de production et un système d irrigation pour produire plus et en contre saisons ,"Agri - Equipment (financing for equipment),Product financing (fertilizers, seeds, pesticides)",Between 5 and 25 millions,February ,Between 1 and 3 months,Every semester,Inputs,No,,,,,,,Yes,COOPEC ,,,car il nous aide à avoir des prets ,Yes for personal expenditures,Daily,"Transfer money,Pay bills,Pay employees ,Pay producers/ farmers",,,,mon argent a été toujours sur mon compte,No,"Technical assistance, Coaching, Mentoring",Epargne et bancarisation agricole ,No,Yes,71-80%,71-80%,No,71-80%,"Yes, explain","Yes, explain",elle permet aux femmes d être autonome ,"Yes, explain",elle est durable car nous sommes obliger d atendre la pluie,36.0,0,0,1,0,1,0,,
82,Single,Primary,10/07/1987,Côte d'Ivoire,,Women’s association ,3.0,"1,5",,Nous sommes une association de femmes qui exerce dans le manioc,Bouaké ,,No,No,,Local Markets ,Less than 1 million,Cassava,"Yes, specify",produuts,presidente,Oui,Nous dispons d un agrement,Statuts et règlements intérieurs,O,Client locaux,Client locaux,No,Sur fond propre,Moyen de transport,Agri Cash (liquidities),Between 1 and 5 millions,June ,Between one and 3 years ,Every year,Inputs,Yes,10000000,Operational loan (working capital) ,Interest rate,,,,Yes,COOPEC ,Detractor,4,On nous fatigue parcque nous sommes dans le vivrier,Yes for personal expenditures,Daily,Transfer money,,Detractor,5,Parceque c ewt plus simple,No,"Technical partnerships, Access to markets, Access to new buyers",Epargne et bancarisation agricole ,Yes,Yes,41-50%,21-30%,Yes,31-40%,"Yes, explain","Yes, explain",Oui,"Yes, explain",Oui,70.0,0,0,1,0,1,0,,
83,Married,Professional training ,1983,Côte d'Ivoire,,Women’s association ,25.0,Between 6 months and a year ,,Regroupemenr des femmes du Sud Ouest pour la production  et la vente du manioc,"Other, specify",Dabou-Grand Lahou,Yes,No,,Local Markets ,Between 5 and 25 millions,Cassava,"Yes, specify",elevage,responsable,Oui,Association,Registre de commerce,,,,Yes,,,Operational loan (working capital) ,Between 50 and 100 millions,November ,Between 3 months and a year,Every semester,Charges ,No,,,,,,,Yes,Société générale (SGBCI),Detractor,3,,Yes for personal and business expenditures,Daily,Transfer money,,Passive,7,Rapide_efficace,No,"Technical partnerships, Access to markets, Access to new buyers",Constitution d’un dossier agricole,No,Yes,21-30%,More than 90%,No,More than 90%,"Yes, explain","Yes, explain",,"Yes, explain",Associé de Femmes,25.0,0,0,1,0,0,0,10.0,3000000.0
